Rating,Review,Comments
5,Awesome,"Beast Unleashed!!!Update - Battery backup tested at 60Hz. Screenshots attached for fool proof evidence.Those of you who said that battery drains faster than other phones you might not be knowing that the phone by default runs at 120Hz refresh rate which no other phone in the indian market offers, it makes your screen smoother than any other phone at the budget segment but it has a price to pay, the battery drains out. I would say the phone at 60hz isn't as fast as 120hz but it's faster than...READ MORE"
4,Good quality product,What I love CAMERA 😍 amazing    *Macro camera is not up to mark*I get pretty good battery backup     *yes 120hz eats lot of batter*Pubg     Not excellent but very good            *believe me no lag!!!!! *What I hate Big!!! Too big hard to carry Too bright. Might effect your eye if u use in nightSpeaker not so LoudREAD MORE
5,Must buy!,"First of all thanks to flipkart for fast delivery. I would considered myself a very lucky one to have got one of these on the first day of the sale also. Thirdly having used xiami redmi note 4 for quite a long time and impressed by it, ugrading myself to this beast camera with an amazing specifications is really an awesome feeling for me. I'm not saying its the best of course they are better phones with better cameras and yes u will have to pay a handsome amount for a specification like this ...READ MORE"
5,Highly recommended,"POCO X2 has really won my heart! Camera is superb! As soon as you turn on the HDR & AI features, the pictures just touch the sky! The vibrant colours are so eye soothing! The selfie camera too is superb! The Charging time is very very less due to 27W charger! The battery life is also good.  I did not experience the heating up of the phone as said by many others. And most importantly! The 120Hz Display is just amazingggg!! It's so smooth! All over it is a really good choice & worth a buy and I...READ MORE"
5,Excellent,"The phone looks absolutely stunning, especially the blue one.Camera:The camera is also very good,but only 2 of the 4 cameras work well in real world usage(others are for just to get the quad camera title). Weight:Talking about the weight of the phone,I was very concerned about the weight because it was the most heavy phone I was going to use based on the specs(208g).But believe me,the real in hand feel really surprised me.Even though it was 208g,it did not at all feel that way.Display:It i...READ MORE"
4,Nice product,"First of all everything is great about this device but some issues with chipset but we hope, company fix it very soon and the display just wow I'm addicted to 120hz refresh rate although it's consume battery very fast poco needs to improve it. No issues with performance, and the performance at this price just wow. Cameras are super se upr wala. I'm very happy with this device.READ MORE"
5,Great product,"Hi this is SonalI am giving my opinion after my experience in Poco X2 after 3weeks This mobile us really awesome , it functions so well n the battery is also awesome it charges so rapidly ....... And 📷 camera no words to explain its amazing really I loved this phone and it's worth to buy so many new functions n features are available to explore and the look is also awesome and the design of the fingerprint is also highly upgraded and look is also superb n attractive and uniqueTotally it's...READ MORE"
5,Terrific,"Got it in 1st sale. Received the Device in 12th Feb.Using it for more than 48 hours.Camera:- 5/5. This time Sony IMX686 Just nailed everyone in this price segment.Display:- 5/5. In simple, WOW. What a display it is. By bringing RealityFlow 120Hz at this price point Poco Just Beat everyone in this Mid Range Segment.And with HDR10 Colours are Very Sharp and crisp. Though it is Not Super Amoled, But compared to Super Amoled Very very marginal differences can be noticed. And with Widevine L1 ...READ MORE"
5,Worth every penny,"I ordered my phone on 20th of March but unfortunately due to lockdown I recieved it on 6th of may. But, believe you me all, it was worth the wait. This phone is a grab on in it's price segment. From design to features, this phone is complete charmer, I personally loved the screen ratio, matrix purple colour and the dual notch (especially when they are separated as two). 120hz refresh rate is makkhan though it drains battery. Yes, the phone is bit on the heavier side, but the overall weight di...READ MORE"
4,Pretty good,Awesome phone I love it camera quality awesome mind blowing picture quality and superb powerful battery backup and so beautiful charger 😘😘 I LOVE MI PRODUCTREAD MORE
5,Worth every penny,"I'm Rating this mobile after my returned period is over i.e., after 10 daysI like this mobile very muchGood camera good battery life good display everything is Okk in this price segmentI don't no why some people's giving bad battery rating I don't have any issues on battery.Battery backup is impressive.❤️Buy this phone its awesome guys🔥🔥READ MORE"
4,Pretty good,I ordered the phone on the first sale and I recieved it next dayFirst impression the phone looks quite good especially in the matrix purple colour the phone feels quite huge and heavy as compared to realme X2 Battery life is quite great and it charges also quickly with 27 w chargerThe camera app seemed buggy it didnt did the detection but I installed gcam app and the camera is goodThe display  is a 6.7 inch lcd fhd plus panel with dual punchole notch the display is good but I am used to a...READ MORE
3,Does the job,Damn it...All things are good accept the software upgradation...even redmi note 7 pro is better than this mobile....some of the apps  are not supported in this.This mobile is not supported for Google ARcore.. please fix it..or else...it will not worth for money..Even realme X2 supports these kind of AR appsREAD MORE
5,Just wow!,Hello friends this is Shahrukh and I am giving the review of poco X2 after the use of one week.should definitely this is an awesome phone I love this phone this phone is having some amazing kind of features in camera as you can see right now the pics which I uploaded are all of them click by poco X2 itself from front and rear camera.The smoothness of this phone is so amazing and I love playing pubg even I am sharing yesterday pic I played in an server with my squad after so long time and I ...READ MORE
5,Worth every penny,"The BEST budget phone in mid range categoryLustrous 💙 Color of Phone.Fabulous camera 📸120hz Display📱(would be better if it was AMOLED)128 GB of storage,Simply feels stunning ❤️ while in handPros 👍 : Glossy lustrous 💙 ColorQuad 📷 120hz smooth display128 GB storageLong lasting battery🔋33 watt charger 🔌Includes a headphone jack when everyone's ignoring it🎧2 punch hole front camerasWiFi calling 📞Future proof Type C slot.Cons 👎 :Would be better if it has AMOLED scree...READ MORE"
5,Currently the Budget Beast!,"Initially when Realme X2 was launched I decided to go for it, but the news of Poco X2 made me hold the pruchase & I'm happy that I held my purchase. This phone performs exceptionally, the 120hz screen is very fast & responsive, it's like the operation happens along with your finger however the fast response rate is limited to UI & there aren't any games that run at 120 FPS. The 4500 mAh battery doesn't perform well & I had to charge it 2-3 times in a day with light to medium usage, but the ch...READ MORE"
4,Pretty good,"I switched to poco x2 from poco f1Definitely worth changing for design , it's feel premium. Color and glass back look awesome.120Hz display is good obviously better than any mid range Super Amoled or LCD screen but not good as 90Hz flagship phone but still justify the price bracket of under 20kWon't talk about camera much it's not deal breaker in any sense does the job as good as other 20k phonesBattery is huge problem here they should put atleast 5000Mah battery considering the high ...READ MORE"
4,Wonderful,"Excellent phone 👌 thanks Flipkart for sending this phone fastlyPro of phone1.120hz is excellent2.camera is next level the Sony imx 686 is best in that price category3.generally mi phones has more bugs but this phone doesn't have so many bugs like mi phone4.performance beast SD 730G is excellent for gaming5.android 10 and miui 116.display brightness is good ,sunlight viewing angles are good 7.charging time is excellent8.it is big display bro 😧😧I think it is my terrific purchaseC...READ MORE"
4,Very Good,"It's a gud mobile performance wise but it got fail in many areas, Battery Issue as it is draining very fast even though fast charging supprted but what's use if it drain very fast even in standby mode, Ips lcd runs very smooth works fine, Sound is kind of Ok don't expect too much like Dolby Atmos,Camera is really very good and it's ofcourse boosted I loved it, pubg runs smooth but few frames drops or may b lag what u called better gaming experience, call quality is good no problem in it.i lov...READ MORE"
5,Perfect product!,Overall poco x2 is a grate phone worth to buy The display is superb. Best camera under 20k Look and feel like a premium phone.Red colour is among best and performance is soo good if you love PUBG you love this phone the game play is smooth with no frame drops. Worth spending 18k. Highly recommendedREAD MORE
5,Must buy!,"Honest review-1.Camera is awesome but slow motion and potrait mode has not performed so well.2. 120HZ Working well but not in all applications3.Snapdragon 730G works ng smooth... Best for gaming 4.Display performance is beyond my expectations ... It's so stunning5.front camera 3.6/5 not so well6.Battery drains very fast but the phone charges in no time Disadvantages,1.The size of the phone is big so not recommended for small handy people2.Speakers are loud but not clear3.Design of ...READ MORE"
5,Terrific purchase,"Value for money smartphone.One of the best smartphones under 20,000.Battery backup very good even with extensive gaming.Charging time is blazing fast.It warms up a bit on extensive gaming or during prolong camera usage but thats pretty normal in smartphones these days.Camera is excellent.In macro takes times to adapt but quality is very good for a 2MP camera.64MP mode also retains a lot of details so we can easily crop and reframe if necessary.Shared some regular,macro and night mode pictu...READ MORE"
5,Brilliant,"Using it for more than a month.Cons:-battery is good but not great.I never felt any difference between 60/120 hz refresh rate while normal use, but in game it's useful.Phone is on the heavier sideWhile using camera (for long duration) ,phone heats up.Photos are saturated (use g cam it's better)Pros:- Really good looking phone feels premium.Superb main camera senser Macro cam works better with Gcam.App loading is fastUI is very smooth and easy, especially gesturesOne of the best ...READ MORE"
5,Simply awesome,"Super cool phone at price tagOn 120hz battery life is average like 13hrs on average usageOn 60hz battery life is too good even on rough usageCamery quality, build quality everything else is good except for batter backupBut 27watt fast charger is awesome it charges so quickly, so it may not be a problem for many.Just go for it,120hz display is comparable with high-end flagship like one plus..READ MORE"
5,Not recommended at all,Phone is good but i got heating issue when i use camera phone got heat in just 2 mint use of camera..and battery ok ok not good and not bad camera as like my vivo z1 pro over all not bad..i love this phones micro camera..screen smoothnes is good.and dont go for youtube revivers they are not true for camera and battery performance..and i thank to delevery boy he is good and well nature boyREAD MORE
5,Fabulous!,My review after 7 days of hard usage :Awesome phone i have ever used.....Display -10/10120 hz killer display experience just amazingCamera - 10/10Sony IMX686 captures the naturalsJust fabulous.Battery -9/10Battery could be betterBut good backup at allI used to play pubg but i can spent 1 day by charging 1 timeFinger print sensor works too fast Processor - 10/10At this price SD 730G is a beastSo smooth performanceNo lagging and frame drop issue at allSome people told me that i...READ MORE
5,Fabulous!,AMAZING IN IT'S OWN LEAGUE SMOOTH AF AND PEOPLE NEED OF BIG DISPLAY THIS ONE IS FOR YOU Camera is amazing 64 Sony camera is just amazing bImage size is about 30-40mb u can imagine what monster it is ( buy 128gb or you will go out bof storage fast)SOUND IS ALSO AMAZING ON PAR WITH ASUS HIGH RES AUDIODelivery boy was also so nice ( Next day delivery)READ MORE
5,Brilliant,Got it after 75 days of prepaid order.I have searched hundreds of videos and then made a mind to buy this and let me tell you ...This phone i literally found the bestest even at the rate of 18499 . No other phone stand it's near at this price range ..Camera is really awesome and screen is really amazing ..120 refresh rate is really really awesome ...very buttery expience.As people complaining of battery and heating issues ....i don't find any.As if this device heats then in less than 2 ...READ MORE
5,Wonderful,"Lot of function you have get in the phone , all good excluding battery service is not good enough . If pubg played on this then battery service willi give like 5 hr to 6 hr . This is the main issues i have. Otherwise phone was very good .READ MORE"
5,Terrific purchase,Very nice and amazing but not more new improvement but it's good no new maybe good for pocoREAD MORE
5,Terrific,Awesome phone..Only battery backup is quite unsatisfactory....Overall very awesome phone...The 120hz experience was fabulous AF....Also..the gaming performance and the camera are very good...The looks are also shiny and colourful...I loved this phone...READ MORE
5,Highly recommended,Camera -9/10Display-8/10Battery 9/10Charging speed-10/10Design and quality-9/10Value for money-9/10Overall a great mobile phone...i feel glad to have it.. awesome battery life   i play pubg approximately 4-5 hours continuously in 100%-0% .. awesome camera quality..and awesome design..READ MORE
5,Terrific,"Camera is too much better , good ram performence , display 60hz is best not 120 hz , overall is good in bit bettery have some issues ... It have a main problem but it is mostly hide by Fast charging ...READ MORE"
5,Terrific,The best phone we got in suitable range.Camera quality is too good.. i just loved every thing of it.It is worth buying.READ MORE
4,Perfect product!,Thank you flipkart for amazing super fast delivery with a amazing smartphone #POCOREAD MORE
5,Delightful,Mobile is perfect all on all but 6 hours continue using net mobile very  heating for poco x2 but mobile designs and battery  is very nice and good camera i love itREAD MORE
5,Wonderful,Perfect camera image quality is great(capture upto 30MB pics)and performance is awesomeBattery drain faster though fast charger recover it overall nice features in this price segmentREAD MORE
5,Worthless,Very bad mobile.. I am not happy at all. It's been only two months and mobile gets hang sometimes. Some of functions like when mobile is locked and when u touch twice to wake it up it doesn't work you have to press button to unlock it. Don't waste your money ... There is lot more better option is available in this price.READ MORE
5,Mind-blowing purchase,From ten day I am using poco x2.my it's great smart phone.best video quality and sound when I use you tube.camera also best.i can't play games so I cannot share opinion about game performance.i strongly said the best smartphone i market 2020.READ MORE
5,Worth every penny,"Amazing phone.... delivered so fastly... I didn't feel any battery draining issue... we can smoothly use the phone with 60 hz refresh rate instead of 120hz to save the battery life.. 64MP Camera is awesome.. Phone pictures can be compared with dslr pics....With an average use of 3 hours gaming, 5 hours social apps the life of the battery remains for 1.5 days.. For how are looking for phone below 20000.Just go for it and feel the Poco magic...READ MORE"
5,Wonderful,"Poco X2 have out standing battery performance..  Both at 120hz Display, its very fast display then other's phone    Its have 4500 mh battery 27 wt charging is much faster actually it's beyond imagination, Don't believe on specific reviews  Outstanding display, hifi sound and performanceREAD MORE"
5,Terrific,I am using this product from first day  sale. The camera is fantastic both the front and rear. Display is very good 120 hz display is too smooth. The user interference is good. Everyone is complaining about the battery but I found a good battery backup about 8 and half hour. I can say in one sentence that it is best phone under 20k thanks.READ MORE
5,Absolute rubbish!,I didn't like the Mobile at all. The battery drains so quickly that if you have some work rltd to the phone let me tell you this is not the one. You will have to charge the phone 4-5 times a day which is not good. Look is great but performance wise it's the worst. Phone lags .READ MORE
5,Great product,Camera quality is very good in this price range. 120hz refresh rate make a big difference so video quality is very good. I think it's worth for every penny.READ MORE
5,Best in the market!,The best phone in this range. Camera is ultimate and the flow is like awesome. Totally in love with this one.READ MORE
5,Super!,"Very nice product and very nice camera, nice performance, nice battery backupREAD MORE"
5,Fabulous!,ExlentREAD MORE
5,Excellent,Genuine review after 3weeks of usage:Pros:1. Camera is one of the best quality2. Quality lag free gaimng with 730g processor3. 120hz refresh rate is just worked seamlessly4. Too much features loaded5. Quick charge works flawlesslyCons:1. Battery drains a bit quick compared to other phones having 4000mah battery2. A bit heavy but I'm okay with the weight because it is providing me the many features at this price range 3. Mi could have added few more colour schemes lREAD MORE
5,Simply awesome,"Osm phone ever I used. Good display, good camera, very good battery backup. snepdragon 730g processing power is very fast , good optimization. some are say battery drain issues but I don't faced like this type of problem in this phone POCO X2. 27w charger is osm Value for money 🤗😍.READ MORE"
5,Awesome,"First before buying i am not sure about the phone how it performances , after i got it only i realized the performance was extraordinary 120 hz refresh rate was just amazing best phone for pubg lovers and the camera quality is too good i really love the video quality and slow motion 960 fps just pure love charging speed is good only (50 - 60  mins )READ MORE"
4,Mind-blowing purchase,"1st of all, the people who say it has Battery drainage issue, just think of the display it gives you, most of the phonea gave 60hz refresh rate, but this has just double the refresh rate compared to many phones, so you will expect a lower Battery.1. It has the best processor under 20k with game Turbo which allows you to record your gameplay without lag, and also it has smooth + ultra which gives you constant 39 to 40 fps!!!, camparing to redmi note 8 pro which has smooth + extreme but drops...READ MORE"
5,Best in the market!,"Hi. I got this product today this phone is look great And works excellent  , camera is tOO GOoD , and randomly if tou see the front camers then found them separated it means they don't connected with each others And the most important thing is the BATTERY IS REALLY AWESOME . IF YOU USE THIS PHONE AT 60 HZ  IT WORKS EXCELLENT AND ALSO THE DRAIN TIME OF BATTERY WILL BE TOO LONG . BUT THEIR IS A WEIRD THING WHICH I  NOTICED IS YOU TALK WITH SOMEONE ON A CALL THEN YOU WILL. FEEL VIBRATIONS O...READ MORE"
5,Fabulous!,"I have been using this phone for a month now.I bought this over Moto One Fusion Plus because of it's flagship camera sensor, 120hz display and faster charging.UI: I was a stock android fan but this MiUi didn't disappointed me. You can disable the recommendations and there will be no ads whatsoever. Plus the extra features in the MiUi doesn't hurt either.CAMERA: The camera quality is mind blowing, yes it produces oversaturated pics but that isn't a issue coz the details and the dynamic ...READ MORE"
5,Delightful,"Just here for the BATTERY thing, because rating here doesn't justify. I have used this phone for more than 25days and let me tell you this is the best phone under 20K, no comparison. Even the design is good. Coming to The battery, i have attached a screenshot yes i have uninstalled PUBG(but with PUBG, i used to play 15 games with giving gaps of 10 minutes after every 5 or 6 games....heating is not that irritating)The way i use, like for YOUTUBE, continuous use of Google chrome, drive fo...READ MORE"
5,Perfect product!,Amazing phone and affordable price ...Super smooth display...Stunning camera ...Attractive design ...Smooth gaming experience.....Also I have purchased a case from Flipkart called well point wh is very good quality product from wellpointREAD MORE
5,Terrific,using for 1 week now....camera quality is great .....the color looks awesome ..... gaming is good though I. feel a little warm .....performance is good till now no laggy ness the fingerprint lock and face unlock works good....front camera is good too.....sound is loud.....screen looks great.....over all ....a good phone is this price range.READ MORE
4,Perfect product!,Great phone Good enough for pubg mobileBattery is good at 60hz but drain faster at 120 hzCamera is awesomeScreen is very brightREAD MORE
5,Super!,"Beast at this Price point 🔥🔥🔥1) Camera is Spectacular 😍😍😍2) Great 120 hz display 🔥🔥🔥3) Super 730G processor ⚡⚡⚡4) 27 watt Super fast charging ⚡⚡⚡5) Great Smartphone  For Video recording 🎥🎥, Eis support at 4K 30 Fps 😍😍😍READ MORE"
5,Fabulous!,Good phone at this price point..1) Good Battery performance2) Good Performance with Snapdragon 730G3) Nice Camera4) Quick charger provided in the box 5) One back cover providedMust buy thisREAD MORE
5,Delightful,"Nice value for money... very good smartphone at this price range. Awesome camera, bright display, good battery, touch sensitivity is nice.64mp sony senser peroformance is vere level... 😍😍. Sometimes take videos using camera, to produce heat in the camera label.READ MORE"
4,Highly recommended,Good mobile and very good camera clearBattery capacity good and fast chargingREAD MORE
4,Brilliant,A great phone under 20kThere is no battery drain issuecamera is just amazingg due to sony imx 686performance is just killer with snapdragon 730ggaming is just amazing but they should give extreme framerates in pubg mobileand I20hz makes a difference i also thought it won't make any difference but it doesand 27wt charging toh kamal hai30 min 50% charge hojata hai aur kya chayiyeif u like this review then drop a likeREAD MORE
5,Awesome,Good overall performance nd battery life 6.7 inch lcd display iz great for gaming..Crisp nd good looking screen..The shiny glass back design complementes by the eye catching colors..120hz refresh rateFast chargin 27wBest android phone in terms of overall performanceREAD MORE
4,Nice product,Excellent Phone with best performance in this price segment . But battery quality is below average . Am also a heavy user like edit photos and videos . I literally charge 4 times in a day (very poor quality) . Value for money . And when I used camera for 15 minutes or more phone over heated.Display 4/5Sound 3/5Bettery 1/5Camera 4.8/5Performance 4.5/5Gaming 4/5Charging speed 4.9/5Value for money 4.5/5If you are thinking to buy a phone with this price range poco is the best choice👍READ MORE
4,Value-for-money,"After 3 months of usage..... I'm writing this review:Very very good phone ... Best value for money.. Simply go ahead with it.. It is a overall all-rounder in Camera, display, performance, built quality, charging speed, and many more.. But one main con is battery is draining a little faster when using the device in 120Hz.. once if u started using it in 120Hz, Trust me you will really feel wierd to go back to 60hz. I've been using this Poco X2 for about more than 3 months..I will give a...READ MORE"
5,Wonderful,"It's a outstanding package.. super camera no compromise at this price. Amazing camera,look and feel with a powerful  processor and gorgeous touch feedback and a bright smooth display panel ..Poco is the best value for money.. strongly recommend.. no one will regard of there choice.READ MORE"
5,Value-for-money,Pros:Performance of the phone is really good. You can feel the difference with 120hz refresh rate. it's an massive display Although an ips panel but still very bright and good quality screen. Finger print scanner is quick. The camera is great with the video stability being just Amazing. Gcam works. It comes with poco launcher on miui11 so NO annoying ad issues. Also it has voice over WIFI calling for better connectivity.  processor handles almost every apps smoothly and since it's gaming o...READ MORE
5,Really Nice,"After Using for 2 Months :-• Charging :-       It's really quick as compared to other ones in this segment.• Display :-          It's display is fine. It would have been better if it had an AMOLED display. And 120 Hz display is not giving any special benifit.• Back Camera :- The Camera is fantastic in this segment particularly in Daylight, but it suffer in night. Ultra wide angle lens is giving strange photos.This has not been fixed even after updates.• Front Camera :- In my opinion, th...READ MORE"
5,Highly recommended,Awesome phone with big displaysBattery is good fast charging support120hz refresh ratio are nice featuresREAD MORE
5,Fabulous!,Value for money.Amazing display and looksOutstanding camera & its feature and phone performanceGesture working like smoothMIUI os is like all MI phoneLooks 8/10 Performance 9/10Camera 9/10Gaming 9/10Overall: Excellent#Most recommend in the budget and it's worth of every penny Attached some close up shotREAD MORE
5,Just wow!,120Hz display getting smooth experiencewith punch hole display nice to see .. it has a massive 4500 mah battery working full day without discharge .. + bundled 27W fast charger thanks to Poco .. 730G Cpu this one is best for pubg experience .. rear 64+8+2+2mp ? Good not a best ones .. overall best phone in this priceREAD MORE
4,Terrific purchase,After a struggle between choosing  poco X2 or mi note 9 pro max I choose poco X2 ( 6gb / 128gb variant) and i used it for past 5 days The cons which i seen before buying this are heavy weight and battery drain is higher . For all your kind information there nothing like that the inhand feel of the mobile is simply premium and convenient therefore the weight distribution is really good by poco team Then the battery drain issue yes sometime it seems like battery drains quickly . After long a...READ MORE
5,Just wow!,"Everything is Good but not satisfied completely.Its camera quality good but on human subjects it doesn't perform well because when you take pic of human subjects it give yellowish and roughly face which look very bad , even zoom in its clarity totally decrease. Hope poco fix it .READ MORE"
4,Brilliant,"Perfect Mid-Range mobile. Beautiful colour, powerful battery, lightning fast charge, excellent performance, awesome cameras,READ MORE"
5,Good quality product,"I have bought this phone on 3rd March. Received on 5th march thanks to FLIPKART and seller. So this review is after 8 days. I almost used this phone 7-7.5 hours on average daily where approx 4-4.5 hours of gaming. NOTE: This phone is not a game changer phone as Poco F1. It's poco x2 not poco f2. But I think it is a very very good phone under 20k.Okk this is the review of poco x2 on FRI, 13 MAR, 2020Good phoneBattery perform average when display set to 120Hz.120Hz is not a eye catchin...READ MORE"
4,Wonderful,1. phone is very primiem looking2. Display very nice and smooth3. Battery also good and 27wat charge in the box 4. Camera is beast sony imx6865. Over all best phone and value for money 👍👍👌READ MORE
4,Good choice,Best display...730G really good gaming processor ...Camera superb...For normal use battery is very efficient...120hz gives a very smooth and good experience...Overall a very good phone ... Go for it. 👍👍READ MORE
5,Must buy!,"I did alot of research on phones between 15k and 20k, and found POCO X2 best in all segments. After that i decided to buy it, i must say it was the best decision. This phone is best under 20k no doubts. Amazing performance and awesome cameras, yeah it's a little big but i got used to it in 2-3 days. And yeah 120hz display is literally gorgeous.It has low rating in battery but after new update you get a full day battery! DON'T THINK TOO MUCH GO FOR IT!READ MORE"
5,Value-for-money,"I've been using this device for over a week now. Here's how I feel about it:The display is amazing. 120hz is as smooth as it could be, it's no gimmick, you'll know when you use it. There is no lag or stutter either. The battery issue has been resolved, I am a hardcore gamer, the phone can easily handle more than 4 hours of continuous gaming. I only have to charge my device twice a day despite playing games most of times. Moreover, there is no major heating issue whatsoever. You may find the...READ MORE"
5,Pretty good,Honest review for 4 months using Nice product best camera for 18k.. display also good.. 730g is supr performance but little disappointed battery backup is not goodREAD MORE
5,Perfect product!,"Best camera at this range...Screen quality is very good...Performance is very good...There is no battery drainage problem,but if you use 120Hz refresh rate of display,then it will drain faster,and you will get 3-4 hours less battery backup...with moderate usage and with low gaming at 120Hz it gives backup of the full day...and with 60Hz it gives 1.5 to 2 days backup...No lags at all...Screen visibility is very good in sunlight...Charging is super fast.Battery charges fully in 1 hour......READ MORE"
5,Best in the market!,"Honestly saying Excellent value for money phone. If you are considering Redmi note 9 pro max, real me 6 pro or XT, Samsung M31 as competators and looking for best phone under 20000 then no doubt blindly go for POCO. Don't compromise for refresh rate,120 Hz really matters alot, Poco has nearly same brightness as amoled screen so it can be compromised. Best camera, Sony IMX sensor makes it unreal. Best in all categories only except Battery and Speaker position. Doesn't heat nor drains fast but ...READ MORE"
5,Excellent,"Ya i also looked like you are looking for honest review no more tension now just read1. Battery is draining not very fast but battery could be better but if you surf in 60hz then it's perfect 2. Just close your eyes and buy this phone if you are looking for best camera under 20k3. Processor is superb 4. Ya there is heating issue but not very much only slight heating not to pay too much attention on it5. Close your eyes and buy if you are looking for best phone under 20,000, i myself had ...READ MORE"
5,Perfect product!,"1. Awesome Back Camera, Good Front Camera2. Poor Battery3. Ok Display4. Good face Unlock5. Good Finger print Unlock6. Awesome Processor and Ram Management7. Awesome UI8. Very less Ads.READ MORE"
5,Just wow!,camera good very good (pick mb 19+ hight )     battery to good   I am very happy this phone is very amazed fracture too good yaarREAD MORE
3,Classy product,I ordered before lockdown and after lockdown with full patience I received my mobile with perfect delivery I am very very very happy to receive this mobile thank you thank you so much we can always believe and trust on Flipkart I am very happy to get this mobile I have no words to explain value of moneyREAD MORE
5,Just wow!,Best phone on offer under 20k You can do all ur daily tasks without any lag infact this phone offers best camera u can even compare it to one plus 7 . One plus 7 comes with sony imx 586 sensor while poco x2 comes with imx 686 which os way better in every way. About gaming it offers outstanding performance if u play pubg on this phone ull never fell that it's lagging Or something neither u will see frame drops and yes the device heats up a bit but no issues that's comprehendable as it com...READ MORE
5,Best in the market!,"Review after a week, Awesome matrix purple, frnd don't think about colour options , go for matrix purple, awesome camara and battery performance and , totally value for money, better then all realme device and samsung , I'm really happy with this mobile .READ MORE"
5,Fair,"_PROS_● Good performance● Best camera in this range● Big and fluent display● side touch fingerprint panel● Satisfying battery performance● Fast charging_CONS_● Battery Heating issue, sometimes i have to switch off my poco, you can press your cloths when its heating. 😑● Side touch finger panel, on screen fingerprint is much batter, look and feel wiseREAD MORE"
5,Worth every penny,Bang for buck device coupled with super fast delivery from flip kart makes this a no brainer under 16k-17k. Redmi note 8 pro might have a better GPU but snapdragon always wins in the long run and 730g is no slouch. Great camera great build great display great battery just makes this a great phone overall. What a comeback poco!READ MORE
5,Simply awesome,"We recently gave birth to our baby boy, who is now six months old. I'm a professional photographer and I have all the high end tech. But baby wouldn't be waiting for me to assemble all my lens, cards, batteries and then click his picture. The perfect moment would be long gone by the time I get my gear. The perfect solution would be to have a  decent phone with a very good camera which can click great images. We had a budget of upto 50k and thought of going for oneplus8. But why spend so much ...READ MORE"
4,Worth every penny,1. Design is superb2. Camera 5/5😘3. Battery 4.5/5 Nice☺️4. Gaming awesome 5/5😍5. Display Very Good 5/5 😘Poco is my frist impression fabulous outstanding I love it 😍😍😍😍😍😍😍😍READ MORE
